variable,VIF
const,733.1536254567558
log_dt,1.20624799538573
leverage,1.6501457196607099
cash_flow,1.4486781553196535
firm_size,4.184292301222426
book_to_market,1.7961819684476794
roa,1.714894236935589
growth,1.0678633706794562
fixed_asset_ratio,1.3683491229219258
equity_balance,2.0764804141307818
independent_directors,1.3839182443685574
board_size,1.5626857442822888
largest_holder,2.2326967028628335
employee_scale,2.934964571192861
ceo_duality,1.120616707954453
soe,1.4279198581254189
