Model,Regressor,Coefficient,SE (firm-clustered),p-value,95% CI lower,95% CI upper,N,p-value display
"M0: OLS, log quality, raw DT, firm and year FE",dt_raw,0.0008320707751628695,0.000636157235098645,0.19111051582685445,-0.00041477450397001125,0.0020789160542957503,6443,0.1911
"M1: OLS, log quality, log DT, firm and year FE",log_dt,0.01962785165705545,0.01016149348225026,0.05362126263274236,-0.000288309754389697,0.0395440130685006,6443,0.0536
"M2: OLS, patent count, log DT, firm and year FE",log_dt,0.11661632072193905,0.04588493586803765,0.011150197757207048,0.0266834982782765,0.20654914316560158,6443,0.0112
"M3: PPML, patent count, log DT, firm and year FE",log_dt,0.09332482438011915,0.05067820818770339,0.0655457089770306,-0.006002639252284739,0.19265228801252304,2774,0.0655
"M4: OLS, utility-patent log, log DT, firm and year FE",log_dt,0.015987003277341996,0.00884827375476865,0.07101939504303179,-0.0013552947441493879,0.03332930129883338,6443,0.0710
"M5: PPML, lagged DT, firm and year FE",log_dt_lag1,0.052899448620442574,0.05911763010763035,0.3708850279101279,-0.06296897815582905,0.1687678753967142,1891,0.3709
