Model,Estimator,Scope,Coefficient on DT_log,Firm-clustered SE,95% CI lower,95% CI upper,p_value_unadjusted,Candidate observations,Retained observations,Retained firms,Note
Locked log-outcome reference,TWFE OLS,Matched complete-case design,0.019627850930114887,0.010161493537304831,-0.0002883105892352404,0.03954401244946501,0.05362127277259443,6574,6443,1337,Reference only; descriptive association.
Locked conditional count reference,Conditional PPML,Estimator-retained contribution set,0.0933248243801191,0.050678208187703376,-0.006002639252284753,0.19265228801252296,0.06554570897703083,6574,2774,505,Reference only; all-zero firms do not contribute to conditional FE identification.
Lagged released R&D-expenditure field: log outcome,TWFE OLS,Strict calendar-lag candidate sample,0.023920945268229975,0.014990406022708949,-0.005459710881662746,0.05330160141812269,0.11085011718753157,4457,4222,1035,"D2 field is complete on the matched panel but its released numerical transformation/unit is not labeled; use is a proxy sensitivity, not verified R&D intensity."
Lagged released R&D-expenditure field: conditional count,Conditional PPML,Strict calendar-lag estimator-retained set,0.07418712439238091,0.057602422113336445,-0.03871154926256244,0.18708579804732428,0.1977749434454774,4457,1891,418,"D2 field is complete on the matched panel but its released numerical transformation/unit is not labeled; use is a proxy sensitivity, not verified R&D intensity."
Lagged invention-patent activity: log outcome,TWFE OLS,Strict calendar-lag candidate sample,0.023219657915438844,0.014849342970436856,-0.0058845197302704565,0.05232383556114814,0.1181981285639,4457,4222,1035,"D1 ln(1+invention patents) is a prior-period inventive-activity proxy, not a validated cumulative knowledge-stock measure."
Lagged invention-patent activity: conditional count,Conditional PPML,Strict calendar-lag estimator-retained set,0.0703680797219942,0.05712456786062112,-0.041594016800380204,0.1823301762443686,0.21801047974750531,4457,1891,418,"D1 ln(1+invention patents) is a prior-period inventive-activity proxy, not a validated cumulative knowledge-stock measure."
Both lagged proxy fields: log outcome,TWFE OLS,Strict calendar-lag candidate sample,0.02362002546723605,0.014871326077758137,-0.005527238277431099,0.0527672892119032,0.1125257748496642,4457,4222,1035,Joint sensitivity with two preceding-period proxy fields; neither resolves unobserved confounding.
Both lagged proxy fields: conditional count,Conditional PPML,Strict calendar-lag estimator-retained set,0.06952260425637444,0.05713864346397081,-0.04246707994184365,0.18151228845459252,0.22370494530922658,4457,1891,418,Joint sensitivity with two preceding-period proxy fields; neither resolves unobserved confounding.
